"EnsemblId" "GeneName" "PC1" "PC2" "distance_to_hsp"
"2062" "ENSG00000096384" "HSP90AB1" 2.64309966169839 1.01777948704008 0
"14671" "ENSG00000179295" "PTPN11" 2.65877692311875 1.04600856185088 0.0322902026985922
"8064" "ENSG00000141030" "COPS3" 2.68444777471634 1.02095340498997 0.0414697504851227
"2486" "ENSG00000101266" "CSNK2A1" 2.69830848173381 0.984529085197742 0.0644484525212269
"16339" "ENSG00000186716" "BCR" 2.6499752675064 1.08312119994355 0.0657024611440541
"2342" "ENSG00000100567" "PSMA3" 2.57169934823795 1.00477956013792 0.0725741197790889
"11004" "ENSG00000163399" "ATP1A1" 2.5870325480372 0.969842913239313 0.0737660920887946
"1570" "ENSG00000082458" "DLG3" 2.63455736381949 1.09896295050041 0.081631645778253
"5165" "ENSG00000121390" "PSPC1" 2.5842981543039 0.951787216620898 0.0883888965138888
"352" "ENSG00000014641" "MDH1" 2.55872578261523 1.06193275924993 0.0952284774548905
"9888" "ENSG00000155545" "MIER3" 2.58925995624189 0.915302571182647 0.115759371833532
"9277" "ENSG00000149930" "TAOK2" 2.72332317777507 1.1027904031576 0.116887417589943
"15851" "ENSG00000184863" "RBM33" 2.73300678528332 1.10138796201188 0.122774866965621
"5208" "ENSG00000121879" "PIK3CA" 2.64627014342664 1.14884608446663 0.131104938562059
"12933" "ENSG00000170873" "MTSS1" 2.51293314308528 1.03367635877646 0.131133645945113
"10053" "ENSG00000156983" "BRPF1" 2.62852144082436 1.15637694334238 0.139362044392723
"75" "ENSG00000005007" "UPF1" 2.74389345004576 1.1169427539418 0.141395690429502
"5070" "ENSG00000120616" "EPC1" 2.73180850723434 1.13209372091672 0.144696245089924
"9770" "ENSG00000154380" "ENAH" 2.53742494729673 1.12447904527675 0.150173036833422
"17132" "ENSG00000196419" "XRCC6" 2.7556670638309 0.917530221921679 0.15073597838487
"6105" "ENSG00000129083" "COPB1" 2.77887718845894 0.948457916925794 0.152450047085345
"17874" "ENSG00000198730" "CTR9" 2.60715770415653 0.868632760892198 0.153416329745476
"15615" "ENSG00000183814" "LIN9" 2.65461403656255 0.861991009582376 0.156213413435283
"3507" "ENSG00000108262" "GIT1" 2.50189470933876 0.936244817649861 0.163054410806509
"17301" "ENSG00000196961" "AP2A1" 2.52448009708429 1.14016167283941 0.17043473974005
"7004" "ENSG00000135040" "NAA35" 2.79156927602269 0.917833697960024 0.178975940093752
"11020" "ENSG00000163466" "ARPC2" 2.47766676851033 0.946446820347774 0.180156574917509
"5839" "ENSG00000126581" "BECN1" 2.46439106066695 1.04648015691321 0.180998598154182
"3532" "ENSG00000108443" "RPS6KB1" 2.62798520902327 0.836519552340036 0.181889006284419
"843" "ENSG00000062485" "CS" 2.74718177537881 0.857250353885854 0.191318292328338
"10610" "ENSG00000161405" "IKZF3" 2.45638959020735 0.961055106944087 0.195136634421785
"222" "ENSG00000008441" "NFIX" 2.59012701738703 1.20581438293517 0.195354096756672
"4795" "ENSG00000118260" "CREB1" 2.46824656929459 0.923086760400717 0.19884747019152
"23221" "ENSG00000215421" "ZNF407" 2.45031240243943 0.967780051940263 0.199165435863962
"5129" "ENSG00000121022" "COPS5" 2.44361007281785 1.04546251897946 0.201401207367492
"18005" "ENSG00000198963" "RORB" 2.56885483129526 1.20718607634167 0.203438322133394
"10459" "ENSG00000160218" "TRAPPC10" 2.51989889781067 1.1866485324131 0.209033927169038
"3390" "ENSG00000107105" "ELAVL2" 2.54927737565101 1.20474098623742 0.209182273487195
"9819" "ENSG00000154832" "CXXC1" 2.52157831217479 1.20094020224389 0.219807383825038
"7247" "ENSG00000136231" "IGF2BP3" 2.54821360053222 0.812404345162948 0.226235084601575
"6548" "ENSG00000132155" "RAF1" 2.7549156654458 0.815375503606101 0.23123622381449
"7356" "ENSG00000136848" "DAB2IP" 2.45299954639119 0.877277487754709 0.236387109722585
"3465" "ENSG00000107864" "CPEB3" 2.41428990816206 1.08224209251588 0.237716913193161
"13267" "ENSG00000172239" "PAIP1" 2.4666599101646 0.856102761219185 0.239312242882535
"8140" "ENSG00000141551" "CSNK1D" 2.43025547891494 1.13089839991907 0.241036376083932
