"gene_ids" "PC1" "PC2"
"1" "ENSG00000000003" -1.12238002973951 -0.499128105433009
"2" "ENSG00000000005" -0.209246345911683 0.42644663105135
"3" "ENSG00000000419" 0.546663122750468 -0.212837665687703
"4" "ENSG00000000457" 0.74646433552445 -0.653310222155337
"6" "ENSG00000000938" 1.13792974279703 0.0656966958136611
"7" "ENSG00000000971" 0.206330680426734 -0.535742299219339
"8" "ENSG00000001036" -1.66913380851714 -0.284470472487203
"9" "ENSG00000001084" 1.52977913104183 -0.220421843236553
"10" "ENSG00000001167" 0.905228205660202 -0.134594973754153
"12" "ENSG00000001461" -0.205086161826753 -0.484537437467337
"13" "ENSG00000001497" 1.49172469477931 0.572721335146558
"14" "ENSG00000001561" -1.20349124214442 0.977635465105725
"15" "ENSG00000001617" 1.89133339082931 0.686929476524913
"17" "ENSG00000001629" 2.17276032505064 0.452612858188964
"18" "ENSG00000001630" -0.648856826932691 -0.504549099582471
"19" "ENSG00000001631" 1.68856283125938 -1.3032252499476
"22" "ENSG00000002330" -1.79910957267263 0.532803380398686
"23" "ENSG00000002549" -0.20684308634852 -0.593714507355601
"26" "ENSG00000002587" -1.2507183852106 1.44478835071096
"28" "ENSG00000002745" -1.33954636439574 0.215922920816449
"29" "ENSG00000002746" 3.71853454982295 -0.672186606022269
"30" "ENSG00000002822" -0.0428299276901741 -1.81480492375466
"31" "ENSG00000002834" 1.76648756868405 1.22233287538863
"32" "ENSG00000002919" -0.87330535389086 -0.757822809531655
"34" "ENSG00000003056" 1.30346280675559 0.515745227891204
"35" "ENSG00000003096" 1.3218468168313 -0.417844928660124
"36" "ENSG00000003137" 0.723311086569902 2.72275442048642
"37" "ENSG00000003147" 0.414671071339008 -1.63836937736857
"38" "ENSG00000003249" -1.74376939035425 0.555821697073307
"39" "ENSG00000003393" 1.558213636114 -1.31998035440208
"42" "ENSG00000003436" -0.645346242857076 -0.789004735550754
"44" "ENSG00000003756" 3.62522604149607 0.629041777587894
"45" "ENSG00000003987" 0.146153144644444 -1.01931220784558
"46" "ENSG00000003989" -0.876786644936059 -1.25277759827501
"50" "ENSG00000004399" 0.834571499976763 0.607347498216356
"51" "ENSG00000004455" -0.858709552454535 -0.464571901497005
"52" "ENSG00000004468" -1.56364561151433 -0.112340504887904
"53" "ENSG00000004478" -0.0141532212730426 1.00715744811937
"54" "ENSG00000004487" 2.55193530266278 0.140861917071659
"55" "ENSG00000004534" 2.94083532515081 0.028815653672025
"56" "ENSG00000004660" 0.576386772022165 -0.379700814901122
"57" "ENSG00000004700" -0.0383807280767279 -0.716857923162482
"60" "ENSG00000004777" 1.25579546346791 0.00398468265761666
"61" "ENSG00000004779" 0.558587691559118 1.14274441862589
"62" "ENSG00000004799" -1.08399162820502 -0.299308511873096
"64" "ENSG00000004838" -1.49079081539595 -0.110255470065899
"67" "ENSG00000004864" 0.132461161019414 -1.22806672861931
"68" "ENSG00000004866" 2.90109137900531 -1.66447402982497
"70" "ENSG00000004939" 1.24264022398771 0.724179001101427
"72" "ENSG00000004961" 0.932208887081283 1.14202226043312
"73" "ENSG00000004975" 0.120366766122945 -0.0945277643683943
"74" "ENSG00000005001" -1.64580016314634 0.179464327969715
"75" "ENSG00000005007" 3.05652323055004 0.956825222584013
"76" "ENSG00000005020" 1.09371033209912 -0.8375241186522
"77" "ENSG00000005022" 1.39800509424339 2.10031776655769
"78" "ENSG00000005059" -1.79406178740161 -0.637792940031659
"79" "ENSG00000005073" 1.22163879913714 3.10688665928551
"81" "ENSG00000005100" -0.167636093282679 -0.460645866536237
"82" "ENSG00000005102" -2.25569155625577 0.891915999741198
"83" "ENSG00000005108" 2.20804629449835 -1.66343821256848
"84" "ENSG00000005156" 0.51025376210847 -0.636334898575472
"85" "ENSG00000005175" 0.839154834669331 -0.608520956120272
"88" "ENSG00000005194" -0.1539292646668 -0.398926271617389
"90" "ENSG00000005238" -0.34813944729446 0.139976016409397
"92" "ENSG00000005249" 2.41282418128302 1.01721040511331
"93" "ENSG00000005302" 2.44964946937862 0.500944295507599
"94" "ENSG00000005339" 6.39842746370081 2.2484581191274
"101" "ENSG00000005471" 0.0306894656777735 -1.92072357282465
"103" "ENSG00000005486" 0.373394193876404 0.624937089304665
"105" "ENSG00000005700" 2.29575142799638 -1.92644249676376
"106" "ENSG00000005801" -2.88396680826529 -1.20733056967407
"108" "ENSG00000005812" 1.29834412116475 0.758370386075235
"111" "ENSG00000005884" -0.015974122626709 -0.641273852379629
"112" "ENSG00000005889" 1.86703656789277 0.934820181527075
"113" "ENSG00000005893" 0.586809311542224 0.313788188135239
