"UniRef50_P07900" "species"
"MMETSP1148" -52620 "Gyrodinium dominans"
"MMETSP0895" -46870 "Heterosigma akashiwo"
"MMETSP0328" -30000 "Alexandrium minutum"
"MMETSP0924" -15860 "Perkinsus chesapeaki"
"MMETSP0398" -15500 "Amphidinium carterae"
"MMETSP0451" -15250 "Oxyrrhis marina"
"MMETSP0132" -14970 "Symbiodinium kawagutii"
"MMETSP0922" -14320 "Perkinsus marinus"
"MMETSP0063" -13100 "Chlamydomonas euryale"
"MMETSP0963" -3014 "Schizochytrium aggregatum"
"MMETSP0472" -2534 "Tiarina fusus"
"MMETSP0384" -2337 "Alexandrium tamarense"
"MMETSP0996" -2006 "Emiliania huxleyi"
"MMETSP0997" -2006 "Emiliania huxleyi"
"MMETSP1006" -2006 "Emiliania huxleyi"
"MMETSP1008" -2006 "Emiliania huxleyi"
"MMETSP0803" -1964 "Crustomastix stigmata"
"MMETSP0995" -1941 "Emiliania huxleyi"
"MMETSP0994" -1931 "Emiliania huxleyi"
"MMETSP0150" -1619 "Chaetoceros debilis"
"MMETSP0252" -1580 "Prorocentrum lima"
"MMETSP0149" -1535 "Chaetoceros debilis"
"MMETSP0056" -1434 "Prorocentrum minimum"
"MMETSP0096" -1325 "Alexandrium monilatum"
"MMETSP0964" -1314 "Schizochytrium aggregatum"
"MMETSP0269" -1290 "Prorocentrum minimum"
"MMETSP1397" -1289 "Climacostomum Climacostomum virens"
"MMETSP1068" -1269 "Pseudopedinella elastica"
"MMETSP1097" -1251 "Pseudopedinella elastica"
"MMETSP1110" -1230 "Symbiodinium sp."
"MMETSP0799" -1216 "Geminigera cryophila"
"MMETSP0484" -1117 "Rhodomonas lens"
"MMETSP0491" -1117 "Tetraselmis chuii"
"MMETSP1161" -1082 "Picochlorum oklahomensis"
"MMETSP1164" -1082 "Chrysoreinhardia sp"
"MMETSP0382" -1060 "Alexandrium tamarense"
"MMETSP1345" -1041 "Fabrea Fabrea salina"
"MMETSP0890" -1034 "Aureoumbra lagunensis"
"MMETSP0891" -1034 "Aureoumbra lagunensis"
"MMETSP0892" -1034 "Aureoumbra lagunensis"
"MMETSP0893" -1034 "Aureoumbra lagunensis"
"MMETSP1167" -994.2 "Mallomonas Sp"
"MMETSP1074" -896.6 "Ceratium fusus"
"MMETSP0909" -894.6 "Fragilariopsis kerguelensis"
"MMETSP0223" -875 "Akashiwo sanguinea"
"MMETSP0229" -875 "Pyrocystis lunula"
"MMETSP0251" -875 "Prorocentrum micans"
"MMETSP0796" -836.5 "Pyrodinium bahamense"
"MMETSP0439" -835.8 "Stereomyxa ramosa"
"MMETSP0977" -822.7 "non described non described"
"MMETSP0993" -822.7 "non described non described"
"MMETSP1165" -805.3 "Chrysocystis fragilis"
"MMETSP1124" -794.3 "Symbiodinium sp."
"MMETSP1049" -785.3 "Proteomonas sulcata"
"MMETSP0105" -778 "Acanthoeca-like sp."
"MMETSP0929" -774.1 "Ostreococcus mediterraneus"
"MMETSP1002" -739.2 "Ditylum brightwellii"
"MMETSP1103" -724.3 "Paraphysomonas bandaiensis"
"MMETSP1116" -708.5 "Symbiodinium sp."
"MMETSP0448" -669.2 "Heterocapsa triquestra"
"MMETSP0766" -662.3 "Gambierdiscus australes"
"MMETSP1075" -654.7 "Ceratium fusus"
"MMETSP0359" -642.5 "Scrippsiella Hangoei"
"MMETSP0707" -614.7 "Asterionellopsis glacialis"
"MMETSP1310" -588 "Genus nov. species nov."
"MMETSP1312" -588 "Genus nov. species nov."
"MMETSP1315" -588 "Prasinoderma singularis"
"MMETSP1321" -588 "Bolidomonas sp."
