Species,Family,Order,Class,Infraphylum,Phylum,Infrakingdom,Kingdom
Gyrodinium dominans,Gymnodiniaceae,Gymnodiniales,Dinophyceae,Dinoflagellata,Myzozoa,Alveolata,Chromista
Heterosigma akashiwo,Chattonellaceae,Chattonellales,Raphidophyceae,Monista,Ochrophyta,Heterokonta,Chromista
Alexandrium minutum,Ostreopsidaceae,Gonyaulacales,Dinophyceae,Dinoflagellata,Myzozoa,Alveolata,Chromista
Perkinsus chesapeaki,Perkinsidae,Perkinsida,Perkinsea,Protalveolata,Myzozoa,Alveolata,Chromista
Amphidinium carterae,Amphidiniaceae,Amphidiniales,Dinophyceae,Dinoflagellata,Myzozoa,Alveolata,Chromista
Oxyrrhis marina,Oxyrrhinaceae,Oxyrrhinales,Dinophyceae,Dinoflagellata,Myzozoa,Alveolata,Chromista
Symbiodinium kawagutii,Symbiodiniaceae,Suessiales,Dinophyceae,Dinoflagellata,Myzozoa,Alveolata,Chromista
Perkinsus marinusi,Perkinsidae,Perkinsida,Perkinsea,Protalveolata,Myzozoa,Alveolata,Chromista
Chlamydomonas euryale,Chlamydomonadaceae,Chlamydomonadales,Chlorophyceae,Chlorophytina,Chlorophyta,Viridiplantae,Plantae
Schizochytrium aggregatum,Thraustochytriaceae,Thraustochytrida,Labyrinthulea,Sagenista,Bigyra,Heterokonta,Chromista
Tiarina fusus,Colepidae,Prorodontida,Prostomatea,Ventrata,Ciliophora,Alveolata,Chromista
Alexandrium tamarense,Ostreopsidaceae,Gonyaulacales,Dinophyceae,Dinoflagellata,Myzozoa,Alveolata,Chromista
Emiliania huxleyi,Noelaerhabdaceae,Isochrysidales,Prymnesiophyceae,,Haptophyta,Hacrobia,Chromista
Emiliania huxleyi,Noelaerhabdaceae,Isochrysidales,Prymnesiophyceae,,Haptophyta,Hacrobia,Chromista
Emiliania huxleyi,Noelaerhabdaceae,Isochrysidales,Prymnesiophyceae,,Haptophyta,Hacrobia,Chromista
Emiliania huxleyi,Noelaerhabdaceae,Isochrysidales,Prymnesiophyceae,,Haptophyta,Hacrobia,Chromista
Crustomastix stigmata,Dolichomastigaceae,Dolichomastigales,Mamiellophyceae,,Chlorophyta,Viridiplantae,Plantae
Emiliania huxleyi,Noelaerhabdaceae,Isochrysidales,Prymnesiophyceae,,Haptophyta,Hacrobia,Chromista
Emiliania huxleyi,Noelaerhabdaceae,Isochrysidales,Prymnesiophyceae,,Haptophyta,Hacrobia,Chromista
Chaetoceros debilis,Chaetocerotaceae,Chaetocerotanae incertae sedis,Bacillariophyceae,Khakista,Ochrophyta,Heterokonta,Chromista
Prorocentrum lima,Prorocentraceae,Prorocentrales,Dinophyceae,Dinoflagellata,Myzozoa,Alveolata,Chromista
Chaetoceros debilis,Chaetocerotaceae,Chaetocerotanae incertae sedis,Bacillariophyceae,Khakista,Ochrophyta,Heterokonta,Chromista
Prorocentrum minimum,Prorocentraceae,Prorocentrales,Dinophyceae,Dinoflagellata,Myzozoa,Alveolata,Chromista
Alexandrium monilatum,Ostreopsidaceae,Gonyaulacales,Dinophyceae,Dinoflagellata,Myzozoa,Alveolata,Chromista
Schizochytrium aggregatum,Thraustochytriaceae,Thraustochytrida,Labyrinthulea,Sagenista,Bigyra,Heterokonta,Chromista
Prorocentrum minimum,Prorocentraceae,Prorocentrales,Dinophyceae,Dinoflagellata,Myzozoa,Alveolata,Chromista
Climacostomum virens,Climacostomidae,Heterotrichida,Heterotrichea,,Ciliophora,Alveolata,Chromista
Pseudopedinella elastica,Pedinellaceae,Pedinellales,Dictyochophyceae,Monista,Ochrophyta,Heterokonta,Chromista
Pseudopedinella elastica,Pedinellaceae,Pedinellales,Dictyochophyceae,Monista,Ochrophyta,Heterokonta,Chromista
Symbiodinium sp.,Symbiodiniaceae,Suessiales,Dinophyceae,Dinoflagellata,Myzozoa,Alveolata,Chromista
Geminigera cryophila,Geminigeraceae,Pyrenomonadales,Cryptophyceae,,Cryptophyta,Hacrobia,Chromista
Rhodomonas lens,Pyrenomonadaceae,Pyrenomonadales,Cryptophyceae,,Cryptophyta,Hacrobia,Chromista
Tetraselmis chuii,Chlorodendraceae,Chlorodendrales,Chlorodendrophyceae,,Chlorophyta,Viridiplantae,Plantae
