"genes" "S" "rho" "p_val" "number_of_species" "group"
"1" "ENSG00000004776" 25302.5050902034 -0.215006246828492 0.13375201868647 50 "Small heat shock proteins"
"2" "ENSG00000007923" 31440.3280682941 0.343694226734285 0.00472128328005714 66 "DNAJ (HSP40) heat shock proteins"
"3" "ENSG00000025796" 24303.6279625167 0.169390705313852 0.212010525033078 56 "DNAJ (HSP40) heat shock proteins"
"4" "ENSG00000044574" 11634.0120787387 0.406427955166394 0.0037581639790077 49 "Heat shock 70kDa proteins"
"5" "ENSG00000059769" 7999.53666258421 0.436255344426765 0.00307277137521216 44 "DNAJ (HSP40) heat shock proteins"
"6" "ENSG00000077232" 27167.7066333816 0.119532452897926 0.375812648147485 57 "DNAJ (HSP40) heat shock proteins"
"7" "ENSG00000081870" 23219.370713769 0.206446660500033 0.126870902949029 56 "Small heat shock proteins"
"8" "ENSG00000096384" 16831.1146913016 0.42477393399516 0.00110220400405749 56 "Heat shock 90kDa proteins"
"9" "ENSG00000100209" 26062.861791726 0.275830458690581 0.0329082160907925 60 "DNAJ (HSP40) heat shock proteins"
"10" "ENSG00000102580" 18713.668131307 0.505191218103992 3.29065732334563e-05 61 "DNAJ (HSP40) heat shock proteins"
"11" "ENSG00000103423" 35759.1747333129 0.218549503205574 0.0802866897981522 65 "DNAJ (HSP40) heat shock proteins"
"12" "ENSG00000104129" 21953.7838005038 0.390003228660633 0.00206737181794604 60 "DNAJ (HSP40) heat shock proteins"
"13" "ENSG00000105821" 12492.3684453259 0.595139731484124 1.0472876132144e-06 57 "DNAJ (HSP40) heat shock proteins"
"14" "ENSG00000108176" 19620.7438991741 0.481207194627866 8.64396225748729e-05 61 "DNAJ (HSP40) heat shock proteins"
"15" "ENSG00000109846" 19744.1940142698 0.42302179969989 0.000843923171715063 59 "Small heat shock proteins"
"16" "ENSG00000110011" 9057.60007105886 0.7353126805652 3.30929765271613e-11 59 "DNAJ (HSP40) heat shock proteins"
"17" "ENSG00000113013" 8153.40535142708 0.584009931049639 1.05724258393649e-05 49 "Heat shock 70kDa proteins"
"18" "ENSG00000115137" 35206.8656559084 0.113422838611257 0.380077091275857 62 "DNAJ (HSP40) heat shock proteins"
"19" "ENSG00000115484" 13089.776675051 0.472271541886348 0.000356427029531806 53 "Chaperonins"
"20" "ENSG00000116138" 12931.95209889 0.730050055340988 3.52492892920789e-12 66 "DNAJ (HSP40) heat shock proteins"
"21" "ENSG00000116675" 35713.5001632863 0.142821136633874 0.264146945134885 63 "DNAJ (HSP40) heat shock proteins"
"22" "ENSG00000120438" 8103.53450309733 0.388135419578879 0.0101147746060966 43 "Chaperonins"
"23" "ENSG00000120675" 18574.8204698251 0.398015929808623 0.00216835996592349 57 "DNAJ (HSP40) heat shock proteins"
"24" "ENSG00000120694" 13662.2448223534 0.672085137712333 1.6298776572177e-09 63 "Heat shock 70kDa proteins"
"25" "ENSG00000125863" 64453.4125705828 -0.0807077895805298 0.503445935350025 71 "Chaperonins"
"26" "ENSG00000126602" 13104.5619011657 0.653501800603762 1.13358162839034e-08 61 "Heat shock 90kDa proteins"
"27" "ENSG00000126698" 13546.9383477087 0.421713551280255 0.00184736571293508 52 "DNAJ (HSP40) heat shock proteins"
"28" "ENSG00000126803" 4415.49959623842 0.666603775578494 1.06031188492412e-06 43 "Heat shock 70kDa proteins"
"29" "ENSG00000128590" 24580.1473161064 0.530859500780501 3.20918889978228e-06 68 "DNAJ (HSP40) heat shock proteins"
"30" "ENSG00000132002" 30626.0757710706 0.190214813033564 0.142013557834377 61 "DNAJ (HSP40) heat shock proteins"
"31" "ENSG00000132141" 24729.9561112038 0.459572637429987 0.000117584928153575 65 "Chaperonins"
"32" "ENSG00000132622" 18611.6997759782 0.328582259163845 0.0143138883353275 55 "Heat shock 70kDa proteins"
"33" "ENSG00000135624" 23366.4415162292 -0.192165383481081 0.185902135727151 49 "Chaperonins"
"34" "ENSG00000135924" 26912.8767427509 0.0802161058526678 0.55673925470047 56 "DNAJ (HSP40) heat shock proteins"
"35" "ENSG00000136770" 30033.6725366792 0.279145724446064 0.026724002683146 63 "DNAJ (HSP40) heat shock proteins"
"36" "ENSG00000137094" 21502.0816884485 0.338580648791151 0.00933059985590842 58 "DNAJ (HSP40) heat shock proteins"
"37" "ENSG00000138246" 22818.1924958791 0.425393656773208 0.000567523843844137 62 "DNAJ (HSP40) heat shock proteins"
"38" "ENSG00000140403" 17513.1019237027 0.536935433006276 8.15452306190226e-06 61 "DNAJ (HSP40) heat shock proteins"
"39" "ENSG00000147570" 38035.3885421809 0.0870922488915868 0.497314052826144 63 "DNAJ (HSP40) heat shock proteins"
"40" "ENSG00000148719" 22337.0212987529 0.554293612843145 1.13606805545778e-06 67 "DNAJ (HSP40) heat shock proteins"
"41" "ENSG00000149428" 18821.6692927587 0.64076670434098 3.97241331798615e-09 68 "Heat shock 70kDa proteins"
"42" "ENSG00000150753" 19269.1851773964 -0.454936965976775 0.00217631472141227 43 "Chaperonins"
"43" "ENSG00000151835" 19474.18059388 0.554162532191391 2.02784522284628e-06 64 "DNAJ (HSP40) heat shock proteins"
"44" "ENSG00000152137" 15932.0534150494 0.0788590763731874 0.59826689908263 47 "Small heat shock proteins"
"45" "ENSG00000155087" 11906.7392417199 0.614119158616804 3.76198614909456e-07 57 "Small heat shock proteins"
"46" "ENSG00000155304" 47206.4938149713 -0.0807347485112487 0.525960239036666 64 "Heat shock 70kDa proteins"
"47" "ENSG00000156261" 20714.7382278121 0.362799894558058 0.00512760914500934 58 "Chaperonins"
"48" "ENSG00000162129" 22520.7254574297 0.529887789219713 4.75356761198833e-06 66 "Chaperonins"
"49" "ENSG00000162616" 8292.67469433288 0.415597273126647 0.00502332143383439 44 "DNAJ (HSP40) heat shock proteins"
"50" "ENSG00000163468" 15563.2910732297 0.495615404678841 8.85522966323669e-05 57 "Chaperonins"
"51" "ENSG00000163793" 10562.2800934046 0.706521809019043 2.8390992911272e-10 60 "DNAJ (HSP40) heat shock proteins"
"52" "ENSG00000164031" 26060.6877906065 0.109340813718165 0.42244517637281 56 "DNAJ (HSP40) heat shock proteins"
"53" "ENSG00000164070" 13987.5458029217 0.630154791038559 5.27643817401281e-08 61 "Heat shock 70kDa proteins"
"54" "ENSG00000165868" 36132.7229344495 0.310365252997489 0.00999977938220779 68 "Heat shock 70kDa proteins"
"55" "ENSG00000166226" 14462.8697649867 0.163802626908726 0.271250803894529 47 "Chaperonins"
"56" "ENSG00000166598" 22339.4206912808 0.148487871496823 0.283908349654649 54 "Heat shock 90kDa proteins"
"57" "ENSG00000168259" 16792.6177068221 0.455774640043359 0.000366964604127643 57 "DNAJ (HSP40) heat shock proteins"
"58" "ENSG00000168724" 14797.4932586972 0.520433845647616 3.32876003942721e-05 57 "DNAJ (HSP40) heat shock proteins"
"59" "ENSG00000169271" 20743.5720981158 0.525101371380134 8.40059523348917e-06 64 "Small heat shock proteins"
"60" "ENSG00000170464" 27427.0846676903 0.400631891003271 0.000942949937200314 65 "DNAJ (HSP40) heat shock proteins"
"61" "ENSG00000170606" 40105.7777984041 0.234534912425008 0.0542152725313491 68 "Heat shock 70kDa proteins"
"62" "ENSG00000170946" 18881.5351564186 0.318847938080137 0.0176625020933704 55 "DNAJ (HSP40) heat shock proteins"
"63" "ENSG00000172404" 4564.27537930326 0.571831577926523 0.00011593196499176 40 "DNAJ (HSP40) heat shock proteins"
"64" "ENSG00000173641" 4253.89550358513 0.655303824359036 2.48429486100828e-06 42 "Small heat shock proteins"
"65" "ENSG00000177692" 13923.6122174048 0.524141756069554 3.38310494206382e-05 56 "DNAJ (HSP40) heat shock proteins"
"66" "ENSG00000178401" 17379.506852983 0.582865138897298 5.38118965844455e-07 63 "DNAJ (HSP40) heat shock proteins"
