"genes" "slopes" "intercept" "p_val_slope" "p_val_intercept" "number_of_species" "R_sq" "R_sq_adj" "residual_std_err"
"1" "dN.dS_ENSG00000004776" -0.126638088026214 0.779136886621367 0.348952798151136 6.26495194785837e-11 50 0.018297867188953 -0.00215426057794366 0.0781025416891775
"2" "dN.dS_ENSG00000007923" 0.332705789296916 0.462639502774196 0.00134394895622526 6.19796251490227e-09 66 0.14946178904548 0.136172129499315 0.0648742775708665
"3" "dN.dS_ENSG00000025796" 0.364207876214176 0.440350156340667 0.0022172124736412 7.89324480191354e-07 56 0.160483945679373 0.144937352080843 0.068562146853134
"4" "dN.dS_ENSG00000044574" 0.268524520286525 0.507445389657894 0.0229301541439897 6.98957510794255e-08 49 0.105282056942442 0.0862455049624945 0.0630371779440839
"5" "dN.dS_ENSG00000059769" 0.502357928931347 0.344793063395524 0.000134038570505785 0.000160226717969872 44 0.29621029696288 0.27945339927152 0.0640383634202505
"6" "dN.dS_ENSG00000077232" 0.121386521345668 0.607869859489993 0.337954353197259 4.44515591502162e-09 57 0.0167052340561105 -0.00117285259741462 0.0775214199590656
"7" "dN.dS_ENSG00000081870" 0.282792810385837 0.496375045709804 0.0229897430432134 2.43479769144626e-07 56 0.0920904957896395 0.0752773568227808 0.0736775713485746
"8" "dN.dS_ENSG00000096384" 0.260728612235223 0.512931840500019 0.0142351750885582 2.24780546612603e-09 56 0.106222313687893 0.0896708750524837 0.0627494162554217
"9" "dN.dS_ENSG00000100209" 0.216140926233809 0.54138176081627 0.105895496024855 1.90066909669448e-07 60 0.0444470977803132 0.0279720477420428 0.0835644315017649
"10" "dN.dS_ENSG00000102580" 0.442016138025923 0.386161280290158 0.000151742039336834 4.00759825976871e-06 61 0.217495315192041 0.204232523924109 0.0694303082085573
"11" "dN.dS_ENSG00000103423" 0.147799575680751 0.589524952712201 0.215225061898016 9.84917404271534e-10 65 0.0242741715073878 0.00878645994401317 0.0774969139071697
"12" "dN.dS_ENSG00000104129" 0.407105199870152 0.409817348791522 0.00112858558933424 6.55137237050445e-06 60 0.168381473519143 0.154043223062577 0.074852377267348
