"genes" "slopes" "intercept" "p_val_slope" "p_val_intercept" "number_of_species" "R_sq" "R_sq_adj" "residual_std_err"
"1" "dN.dS_ENSG00000004776" -2.82724589874498e-06 0.10050255766564 0.56436692657017 1.0924149457157e-06 50 0.00696884325991357 -0.0137193058388383 0.0580376717547399
"2" "dN.dS_ENSG00000007923" 1.29581387648218e-05 0.0169661696680662 0.00050826250589037 0.210315661441612 66 0.173278139504735 0.160360610434497 0.0632797199514528
"3" "dN.dS_ENSG00000025796" 2.10944523546768e-05 0.0261974129159694 0.000702644596371326 0.239199545792812 56 0.193116574301673 0.178174288640593 0.0951373075896031
"4" "dN.dS_ENSG00000044574" 2.53153301045886e-06 0.0138536516360574 0.0574323126959324 0.00135053003379776 49 0.07468867202736 0.0550011969641123 0.0170223397103126
"5" "dN.dS_ENSG00000059769" 2.4557613651637e-05 0.0376267824421462 2.31401475181395e-05 0.102345757605452 44 0.350393247158486 0.334926419709878 0.0648691635295758
"6" "dN.dS_ENSG00000077232" 3.30492087870013e-06 0.109543984529938 0.232666266748163 5.05473151981998e-14 57 0.025797172455471 0.00808439377284342 0.046793913702358
"7" "dN.dS_ENSG00000081870" 1.84060746019888e-05 0.209779650544592 0.0167411294694197 3.09619541116436e-09 56 0.101442161578374 0.084802201607603 0.126033647829727
"8" "dN.dS_ENSG00000096384" 7.37815068407017e-06 -0.000585387370025652 0.0142739015442266 0.957095808542188 56 0.106142244721484 0.089589323327437 0.0443649036180015
"9" "dN.dS_ENSG00000100209" 6.25247603280541e-06 0.31010616174673 0.175759912831271 1.21904055701301e-25 60 0.0313755834821996 0.0146751625077548 0.0725892424829385
"10" "dN.dS_ENSG00000102580" 8.90913665000306e-06 0.0413558348388462 0.00021942649198192 1.71297743110228e-05 61 0.208167190851414 0.194746295781099 0.0391446323748705
"11" "dN.dS_ENSG00000103423" 3.6274605175014e-06 0.160512973208879 0.30779097821705 1.47355622931464e-17 65 0.0165036780488789 0.000892625319496076 0.0634716746469896
"12" "dN.dS_ENSG00000104129" 1.16852270160724e-05 0.106651234761676 0.000718833379589711 1.28976316631002e-11 60 0.180383518789887 0.166252200148334 0.0565018555923774
"13" "dN.dS_ENSG00000105821" 2.42540970512978e-05 0.0198462486091076 4.91468206183399e-09 0.135831826459249 57 0.466137552918788 0.456430962971856 0.0566030637814852
"14" "dN.dS_ENSG00000108176" 0.000151635314133046 0.0783471212023181 0.00016678964982598 0.586017505899533 61 0.215112214337675 0.201809031529839 0.596338574876459
"15" "dN.dS_ENSG00000109846" 1.73264258270091e-05 0.0291437540929885 0.000132589249457508 0.0530932814149491 59 0.227736516158586 0.21418803398593 0.0641947411863547
"16" "dN.dS_ENSG00000110011" 4.61518658875429e-05 0.265518291989868 7.39341787194716e-09 1.68754439732979e-14 59 0.446433836574931 0.436722149497299 0.110185682167125
"17" "dN.dS_ENSG00000113013" 2.53041767625014e-05 -0.0251729483720643 7.46169550914666e-05 0.275055179172492 49 0.28630419127788 0.271119174071026 0.0960593961413008
"18" "dN.dS_ENSG00000115137" 3.43277905881885e-06 0.0740961194367604 0.371027364504513 4.20695490055419e-07 62 0.0133584606585184 -0.00308556499717283 0.0569958904440179
"19" "dN.dS_ENSG00000115484" 1.44038014032929e-05 0.0259889740891327 0.0138336732298263 0.222589130468609 53 0.113050579679945 0.0956594145756302 0.0795459882245184
"20" "dN.dS_ENSG00000116138" 3.47900917926321e-05 0.0379601072959133 2.43818293481628e-09 0.0504112165021721 66 0.428913209609053 0.419989978509195 0.0889839804646179
"21" "dN.dS_ENSG00000116675" 1.24007483799698e-05 0.0696157186744502 0.00323471502554881 4.1190898575178e-05 63 0.133496033017655 0.11929104995237 0.0695589750174012
"22" "dN.dS_ENSG00000120438" 1.0675237201381e-06 0.0386631923328715 0.604530276910301 5.70812871062667e-06 43 0.00660021691909704 -0.0176290460828763 0.0287342178758822
"23" "dN.dS_ENSG00000120675" 4.53998654904001e-05 0.279697471296045 3.78965262280894e-05 2.66345474245258e-09 57 0.267550747366087 0.254233488227289 0.172215283443929
"24" "dN.dS_ENSG00000120694" 3.83586615275294e-05 0.0426504213463703 2.57696867758417e-10 0.0391492694021947 63 0.483336869445264 0.474866982059121 0.088816938269494
"25" "dN.dS_ENSG00000125863" 1.57773823555464e-05 0.279786577120458 0.0265962719338138 5.66443094465753e-16 71 0.069258312761055 0.0557693028010702 0.127156576461775
"26" "dN.dS_ENSG00000126602" 1.11986150828481e-05 0.0617856157742225 3.33508125105995e-08 1.78505399380193e-12 61 0.406187216609368 0.396122593162069 0.0308989049689025
"27" "dN.dS_ENSG00000126698" 3.19359815082923e-05 0.00873928192960223 0.00280160003085963 0.794226014244581 52 0.165076698493781 0.148378232463656 0.144858769473878
"28" "dN.dS_ENSG00000126803" 4.33070694523449e-06 -0.00196931730819712 1.44608436934373e-05 0.561055408534061 43 0.371313621593012 0.355979807485524 0.0126940624168318
"29" "dN.dS_ENSG00000128590" 4.93973905057147e-05 0.0701056856708514 8.49485069863905e-05 0.118356107276597 68 0.21002730994187 0.198058026759171 0.207811413042943
"30" "dN.dS_ENSG00000132002" 5.18574734033598e-06 0.0403114878122982 0.0583835748320068 0.00015086912137701 61 0.0594007670204607 0.0434584071394516 0.0419460542811269
"31" "dN.dS_ENSG00000132141" 3.05039126659471e-05 0.177926110323962 2.99789857555651e-05 5.04803991207475e-09 65 0.243192103115122 0.231179279355044 0.121418014844382
"32" "dN.dS_ENSG00000132622" 4.73575913666894e-06 0.0268931265253263 0.0240154543557975 0.00186810522571039 55 0.0924507891086078 0.075327219091789 0.0329164947059514
"33" "dN.dS_ENSG00000135624" 8.51502545471526e-06 0.0251389662569872 0.0156143826810109 0.0728975200600799 49 0.118115734802938 0.0993522397987452 0.0569292893952043
"34" "dN.dS_ENSG00000135924" 1.33123775242987e-05 0.1358605411011 0.0212729978503242 3.68982561035299e-09 56 0.0943782753550186 0.0776075026764078 0.082058305975559
"35" "dN.dS_ENSG00000136770" 7.42379489058876e-06 0.229948206278531 0.0517583849385019 3.86268935779711e-23 63 0.0606182916624161 0.0452185915257344 0.0671382403435941
"36" "dN.dS_ENSG00000137094" 8.96898832449577e-06 0.0227957692723834 0.000820188924346443 0.0176660380840278 58 0.182637566435227 0.168041808692999 0.0404188131534992
"37" "dN.dS_ENSG00000138246" 1.07006910495064e-05 0.0212011187396066 1.34481793938918e-05 0.0137561768505588 62 0.272641253261174 0.260518607482193 0.03692709456013
"38" "dN.dS_ENSG00000140403" 2.61409734790415e-05 0.0767186058551055 0.000827088365169925 0.0116419350574396 61 0.173924028521116 0.159922740868931 0.129946023581743
"39" "dN.dS_ENSG00000147570" 9.57079927403929e-06 0.182461529229278 0.0115710915926977 9.42473525384378e-20 63 0.100006545573798 0.0852525545176303 0.0621249356719648
"40" "dN.dS_ENSG00000148719" 1.09009957874352e-05 0.0620950615362469 8.79744523084997e-05 2.45602499521626e-08 67 0.212101180923926 0.199979660630448 0.0462205336668129
"41" "dN.dS_ENSG00000149428" 1.88865946751434e-05 0.0600468198122799 1.03237521788376e-06 3.33539162370875e-05 68 0.305305823090199 0.294780153743081 0.0626056620470195
"42" "dN.dS_ENSG00000150753" 2.83720506599938e-06 0.0378736640247493 0.634141255122058 0.0411363117658451 43 0.00557619962561423 -0.0186780394079074 0.0660934595363074
"43" "dN.dS_ENSG00000151835" 6.93544067977499e-06 0.0543322356463216 9.44400927647168e-07 3.6665770512208e-16 64 0.323450671275926 0.312538585328763 0.0225308520398025
"44" "dN.dS_ENSG00000152137" 8.39778179524508e-07 0.0557641367550601 0.629317295122137 1.98084439068539e-13 47 0.00522164201059738 -0.0168845437225005 0.0220115910721121
"45" "dN.dS_ENSG00000155087" 1.83845121947919e-05 0.0154191088196394 9.69676671275373e-07 0.270430173039357 57 0.355944130335909 0.344234023614744 0.054242931508413
"46" "dN.dS_ENSG00000155304" 1.63104806990367e-05 0.0722434828548572 0.00280732188110472 0.000670273517493263 64 0.135117992942933 0.12116828315169 0.0914478317857395
"47" "dN.dS_ENSG00000156261" 1.18366527783063e-05 0.0324670028825325 0.00178610219362109 0.0240122346028872 58 0.161195176871472 0.146216519315605 0.061157106619151
"48" "dN.dS_ENSG00000162129" 2.26275302450732e-05 0.103089762133499 0.000110278324889048 5.82854480076856e-06 66 0.20976244801016 0.197414986260319 0.0962944094010382
"49" "dN.dS_ENSG00000162616" 5.02910358304276e-06 0.0461916798531588 0.0119399200706338 2.43282502048986e-10 44 0.141225820844173 0.120778816578558 0.0211686217347347
"50" "dN.dS_ENSG00000163468" 1.11650962094381e-05 0.0260924283058234 0.0190093499412529 0.149695132294437 57 0.0959923203486898 0.0795558170823024 0.073540613497446
"51" "dN.dS_ENSG00000163793" 8.07732172450139e-05 0.291727043468579 2.89078085926636e-08 2.64459285053465e-07 60 0.414370714294264 0.404273657644166 0.218167879534306
"52" "dN.dS_ENSG00000164031" -1.6352176546638e-06 0.0778026045524332 0.69143485953162 7.19076846679681e-07 56 0.00294014032699961 -0.0155239311484263 0.0541265938017577
"53" "dN.dS_ENSG00000164070" 3.18331802577669e-05 0.0387074519209033 6.6802582979562e-07 0.0926116007504608 61 0.344377133630283 0.333264881657915 0.101386832989481
"54" "dN.dS_ENSG00000165868" 1.69138760178162e-05 0.0218217585508592 0.000200396229145196 0.189461826920332 68 0.19028288636388 0.178014445248181 0.0777666229131858
