"genes" "slopes" "p_val_slope" "number_of_species" "R_sq" "R_sq_adj" "residual_std_err" "intercept" "p_val_intercept"
"1" "dN.dS_ENSG00000166181" 0.411457874779626 0.035805127150657 27 0.164528652417217 0.131109798513905 0.660390198433986 9.02150002931578 1.39363503544076e-13
"2" "dN.dS_ENSG00000076108" -0.484278560009717 0.537608618612851 38 0.0106456759615659 -0.0168363885950573 0.75981609128726 7.01738975802598 2.88587075394669e-06
"3" "dN.dS_ENSG00000140153" 0.199012897002951 0.224152570834801 32 0.0488437590622274 0.0171385510309683 0.656314522272675 8.48749884796687 1.01010985679295e-17
"4" "dN.dS_ENSG00000172262" -0.0198178671739897 0.951923980651764 34 0.000115375240523142 -0.0311310192832104 0.793968535057768 7.80082627519772 1.75276981209102e-10
"5" "dN.dS_ENSG00000123200" 1.66985817480697 0.000563846347622116 36 0.298672555520975 0.27804527774218 0.600816424397005 11.6031416236755 1.99125092804787e-13
"6" "dN.dS_ENSG00000153560" 0.61961720563919 0.0239413096793362 35 0.145157920146742 0.119253614696643 0.73180593278686 9.13193681278884 4.41299595151754e-17
"7" "dN.dS_ENSG00000143393" 0.344516984723142 0.0395045035737325 38 0.112530406877451 0.0878784737351584 0.72148896192075 8.95164620830944 2.60081427898692e-18
"8" "dN.dS_ENSG00000157450" -0.0198405487097927 0.972223423301525 38 3.41486845379288e-05 -0.0277426805186693 0.703847605334545 7.83834313813129 1.00336217601324e-06
"9" "dN.dS_ENSG00000198910" -0.477902095692759 0.0116350213533764 38 0.164110406454931 0.140891251078679 0.685691195327467 6.47915122265783 1.2551809623705e-14
"10" "dN.dS_ENSG00000014641" 0.681446660113607 6.15102244620068e-05 34 0.399080811925522 0.380302087298194 0.576842130085033 9.22309674670823 5.35838292895115e-25
"11" "dN.dS_ENSG00000137845" -0.225334074042824 0.285033640772784 29 0.0422025158418738 0.00672853494712844 0.702303847483659 7.06009546641261 8.75375816902675e-12
"12" "dN.dS_ENSG00000090975" 0.0641183735368394 0.865710652764942 32 0.000968812402303572 -0.0323322271842863 0.777229440615381 8.00256195956516 3.7721586059806e-08
"13" "dN.dS_ENSG00000173757" 0.398008796090024 0.0165193687764634 34 0.166706199900725 0.140665768647622 0.699408008056795 9.06819413034228 1.49524439336479e-18
"14" "dN.dS_ENSG00000175115" 0.239385482743659 0.141803047687966 35 0.0642390327862531 0.035882639840382 0.727302811163752 8.57407622911774 5.58735657297859e-17
"15" "dN.dS_ENSG00000121274" 0.241036742651085 0.110398607064785 33 0.0801427901569939 0.0504699769362518 0.762089572532585 8.24370221486476 4.70872636076176e-23
"16" "dN.dS_ENSG00000198822" 0.995081782535944 0.00456240294336869 37 0.207929275802055 0.185298683682114 0.679378556390085 11.0510435137254 3.02368180483325e-12
"17" "dN.dS_ENSG00000100505" 0.610560495555382 0.000143144344996779 37 0.342219505012156 0.323425776583932 0.630122825928467 9.76003302029178 2.05715452248078e-21
"18" "dN.dS_ENSG00000138757" -0.0290010295869997 0.931914379132207 29 0.000275361846047958 -0.0367514766040984 0.738344517953018 7.53044017252089 3.18371243030347e-06
"19" "dN.dS_ENSG00000155545" 0.128858305334101 0.702399925143587 36 0.00434784153647746 -0.0249360454771554 0.743342140971055 8.14746479563443 2.95076424158985e-10
"20" "dN.dS_ENSG00000104885" -0.166774839587592 0.797150404072414 36 0.00197000844833119 -0.0273838148326002 0.771055747103022 7.36310969300713 5.19204337114218e-05
"21" "dN.dS_ENSG00000094880" 0.358035629458439 0.166288101036042 38 0.0525353577733249 0.0262168954892507 0.745509836229215 8.8623906169971 8.06386243705451e-14
"22" "dN.dS_ENSG00000157193" 1.83096598149443 6.63076342488956e-08 35 0.591964984784221 0.579600287353439 0.496677399770363 11.2185292619948 1.25989281979484e-21
"23" "dN.dS_ENSG00000155096" 0.370906749503012 0.240493294312815 33 0.0441570381257885 0.0133233941943623 0.704507948305318 8.58087954044466 4.38738466706362e-14
"24" "dN.dS_ENSG00000105705" 0.175783188896047 0.584910380199201 36 0.00886573925629524 -0.0202852684126371 0.759569933170016 8.32545161965403 1.04716229746557e-11
"25" "dN.dS_ENSG00000173889" 0.160071845955951 0.569608901102591 38 0.0090657496049448 -0.0184602017949178 0.751304780262799 8.24145823225848 1.11879414144372e-13
"26" "dN.dS_ENSG00000149930" 0.423813315999695 0.0207487487071556 38 0.139808276036755 0.115914061482221 0.70698524615513 8.82663375088302 3.82110219497552e-21
"27" "dN.dS_ENSG00000163462" 0.251814147360911 0.250624352338003 37 0.0375275838074612 0.0100283719162459 0.75056634625989 8.73805424648888 4.4708561207137e-13
"28" "dN.dS_ENSG00000130826" -0.364069934207937 0.11513757300381 32 0.080680854161631 0.0500368826336852 0.715815737566879 6.91394319440324 9.06112288664207e-13
"29" "dN.dS_ENSG00000102230" 0.247617056722935 0.151849310625732 35 0.0612201906118037 0.0327723176000402 0.718344667305262 8.57800644526206 1.90294618992854e-16
"30" "dN.dS_ENSG00000153201" 1.94707914806895 8.48831162769247e-06 32 0.488951642533739 0.471916697284863 0.539176350349101 11.0298809291272 1.58586593368115e-17
"31" "dN.dS_ENSG00000148835" 0.233706016648366 0.121362741691765 33 0.0756439030974939 0.0458259644877356 0.730583146414197 8.34940646531225 3.30894322617751e-20
"32" "dN.dS_ENSG00000097007" 0.0573428174600688 0.898852126495547 36 0.000482138438762681 -0.0289154457248031 0.730481017859867 7.99708160757556 2.4704387694282e-08
"33" "dN.dS_ENSG00000189221" 0.33905423724352 0.52882697211459 37 0.0114297713627216 -0.0168150923126291 0.75203230548918 8.48702620883455 2.11787148815991e-09
"34" "dN.dS_ENSG00000184863" 0.705466535197143 0.0911223217189821 30 0.0985621256645152 0.0663679158668192 0.781840639274922 9.27291222781822 1.66385244951176e-11
"35" "dN.dS_ENSG00000145604" 0.899074521593443 0.0140264119572317 35 0.169411311732575 0.144241957542653 0.710850653746164 9.3616168728193 1.06072958443903e-16
"36" "dN.dS_ENSG00000151553" 0.757936906312241 0.00488700935202447 38 0.199917344740641 0.177692826538992 0.629583707278424 9.78120066090224 2.63698190708819e-17
"37" "dN.dS_ENSG00000082701" 0.242027330401549 0.010537249620049 30 0.21160536589117 0.183448414672997 0.72324752293537 8.48782666376582 4.80291659444815e-22
"38" "dN.dS_ENSG00000108406" 0.270713899713696 0.116121093366518 33 0.0777388718459088 0.0479885128731962 0.71307505981446 8.56839128354506 1.56299594939267e-16
"39" "dN.dS_ENSG00000169967" -0.0433450851514048 0.740919527297378 37 0.00316333982323841 -0.0253177076103832 0.712691428909717 7.74700522948253 2.2963783156186e-19
"40" "dN.dS_ENSG00000184708" 0.458987126366539 0.0579264922019995 38 0.0963087054616562 0.0712061695022579 0.726618167653969 8.6845673403511 4.23693952396089e-20
"41" "dN.dS_ENSG00000132680" 0.126123395609293 0.506230636368371 32 0.0148639421914878 -0.0179739264021295 0.75637058263761 8.07716197137993 2.31917630814013e-15
"42" "dN.dS_ENSG00000121879" 0.2128083274371 0.0600713707259426 28 0.129411347649818 0.0959271687132727 0.690190301529664 8.60350455468878 3.36288092912605e-16
"43" "dN.dS_ENSG00000108848" -0.0265365653281881 0.87491671014178 33 0.000812016361828885 -0.0314198540781121 0.798222717166685 7.71667617599987 3.16319799892777e-15
"44" "dN.dS_ENSG00000175931" -0.395764439334753 0.189898982491072 35 0.0514910443721074 0.0227483487470198 0.728480025074381 6.58133351674449 6.36784093246429e-08
"45" "dN.dS_ENSG00000158545" 1.0793911044073 0.000761409016826357 35 0.294262370075569 0.27287638128998 0.651170106106269 10.2450398224391 1.12470593621707e-16
"46" "dN.dS_ENSG00000110171" 0.407860597396858 0.00051242976562062 36 0.302389196630735 0.281871231825757 0.641810949932202 9.32680347956847 3.31495107428564e-22
