"phenotypeID" "num_of_snps" "num_of_pos_snsps" "proportion_of_pos_snps" "mean_beta" "pos_to_neg_effect_weight" "cis_eQTLs_total" "LOE" "GOE" "meanSlope" "meanMAF" "LOE_meanSlope" "GOE_meanSlope" "LOE_meanMAF" "GOE_meanMAF" "cis_eQTLs_positive_association" "LOE_positive_association" "Trait"
"85" "PGS000333" 4618 2328 0.504114335210048 1.02067827936336e-06 1.17363571971388 141 67 74 0.0358355517730496 0.187942717021277 -0.144473405970149 0.199088256756757 0.156688679104478 0.216240291891892 84 48 "Prostate cancer"
"82" "PGS000330" 4515 2409 0.533554817275747 4.53310394817719e-06 1.6336513936645 139 67 72 0.0348800071942446 0.185986907194245 -0.144473405970149 0.201778322222222 0.156688679104478 0.213250536111111 64 34 "Type 2 diabetes"
"81" "PGS000329" 4500 2111 0.469111111111111 6.03421545311111e-07 1.16678350819113 139 67 72 0.0348800071942446 0.185986907194245 -0.144473405970149 0.201778322222222 0.156688679104478 0.213250536111111 102 60 "Coronary heart disease"
"84" "PGS000332" 4487 2023 0.450858034321373 -2.11743148328505e-06 0.773946637029175 141 67 74 0.0358355517730496 0.187942717021277 -0.144473405970149 0.199088256756757 0.156688679104478 0.216240291891892 81 49 "Breast cancer"
"83" "PGS000331" 4432 2274 0.513086642599278 -3.95912788605596e-08 0.987374562804609 130 63 67 0.0336721407692308 0.190804897692308 -0.144352511111111 0.201068455223881 0.15969650952381 0.220056068656716 54 23 "Atrial fibrillation"
"4" "PGS000039" 2523 1318 0.52239397542608 1.10952085081252e-05 1.42556413626261 83 37 46 0.0571628409638554 0.18282354939759 -0.154336594594595 0.227281952173913 0.161857321621622 0.199687689130435 44 29 "Ischaemic stroke"
"159" "PGS000819" 2422 1331 0.549545829892651 1.30359508009909e-08 1.27327718475576 97 32 65 0.0614813340206186 0.248853711340206 -0.103157084375 0.142534093846154 0.247958625 0.249294369230769 32 16 "Diabetic retinopathy"
"174" "PGS000909" 2270 1109 0.488546255506608 7.30176211453744e-06 1.18066182721863 82 42 40 0.0362557353658537 0.162879763414634 -0.157163880952381 0.2393463325 0.147266330952381 0.1792738675 39 9 "Headache"
"173" "PGS000908" 2183 1203 0.551076500229043 2.38662391204764e-07 1.00710293115201 81 42 39 0.0317361024691358 0.16470697037037 -0.157163880952381 0.235166853846154 0.147266330952381 0.183489197435897 44 28 "Insomnia"
"469" "PGS001355" 1896 1026 0.541139240506329 1.28218879897901e-06 1.50081907887688 66 36 30 -0.0144361424242424 0.151360895454545 -0.134059166666667 0.129111486666667 0.124111719444444 0.184059906666667 38 27 "Coronary artery disease"
