"Polygenic Score ID & Name","PGS Publication ID (PGP)","Reported Trait","Mapped Trait(s) (Ontology)","Number of Variants","Ancestry distribution","Scoring File (FTP Link)"
PGS000001(PRS77_BC),"PGP000001|Mavaddat N et al. J Natl Cancer Inst (2015)","Breast Cancer","breast carcinoma",77,G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000001/ScoringFiles/PGS000001.txt.gz
PGS000002(PRS77_ERpos),"PGP000001|Mavaddat N et al. J Natl Cancer Inst (2015)","ER-positive Breast Cancer","estrogen-receptor positive breast cancer",77,G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000002/ScoringFiles/PGS000002.txt.gz
PGS000003(PRS77_ERneg),"PGP000001|Mavaddat N et al. J Natl Cancer Inst (2015)","ER-negative Breast Cancer","estrogen-receptor negative breast cancer",77,G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000003/ScoringFiles/PGS000003.txt.gz
PGS000004(PRS313_BC),"PGP000002|Mavaddat N et al. Am J Hum Genet (2018)","Breast Cancer","breast carcinoma",313,GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000004/ScoringFiles/PGS000004.txt.gz
PGS000005(PRS313_ERpos),"PGP000002|Mavaddat N et al. Am J Hum Genet (2018)","ER-positive Breast Cancer","estrogen-receptor positive breast cancer",313,GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000005/ScoringFiles/PGS000005.txt.gz
PGS000006(PRS313_ERneg),"PGP000002|Mavaddat N et al. Am J Hum Genet (2018)","ER-negative Breast Cancer","estrogen-receptor negative breast cancer",313,GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000006/ScoringFiles/PGS000006.txt.gz
PGS000007(PRS3820_BC),"PGP000002|Mavaddat N et al. Am J Hum Genet (2018)","Breast Cancer","breast carcinoma","3,820",GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000007/ScoringFiles/PGS000007.txt.gz
PGS000008(PRS3820_ERpos),"PGP000002|Mavaddat N et al. Am J Hum Genet (2018)","ER-positive Breast Cancer","estrogen-receptor positive breast cancer","3,820",GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000008/ScoringFiles/PGS000008.txt.gz
PGS000009(PRS3820_ERneg),"PGP000002|Mavaddat N et al. Am J Hum Genet (2018)","ER-negative Breast Cancer","estrogen-receptor negative breast cancer","3,820",GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000009/ScoringFiles/PGS000009.txt.gz
PGS000010(GRS27),"PGP000003|Mega JL et al. Lancet (2015)","Coronary heart disease","coronary artery disease",27,G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000010/ScoringFiles/PGS000010.txt.gz
PGS000011(GRS50),"PGP000004|Tada H et al. Eur Heart J (2015)","Coronary artery disease","coronary artery disease",50,G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000011/ScoringFiles/PGS000011.txt.gz
PGS000012(GRS49K),"PGP000005|Abraham G et al. Eur Heart J (2016)","Coronary artery disease","coronary artery disease","49,310",GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000012/ScoringFiles/PGS000012.txt.gz
PGS000013(GPS_CAD),"PGP000006|Khera AV et al. Nat Genet (2018)","Coronary artery disease","coronary artery disease","6,630,150",GDE,"https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000013/ScoringFiles/PGS000013.txt.gz  - Check Terms/Licenses"
PGS000014(GPS_T2D),"PGP000006|Khera AV et al. Nat Genet (2018)","Type 2 diabetes","type II diabetes mellitus","6,917,436",GDE,"https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000014/ScoringFiles/PGS000014.txt.gz  - Check Terms/Licenses"
PGS000015(GPS_BC),"PGP000006|Khera AV et al. Nat Genet (2018)","Breast cancer","breast carcinoma","5,218",GDE,"https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000015/ScoringFiles/PGS000015.txt.gz  - Check Terms/Licenses"
PGS000016(GPS_AF),"PGP000006|Khera AV et al. Nat Genet (2018)","Atrial fibrillation","atrial fibrillation","6,730,541",GDE,"https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000016/ScoringFiles/PGS000016.txt.gz  - Check Terms/Licenses"
PGS000017(GPS_IBD),"PGP000006|Khera AV et al. Nat Genet (2018)","Inflammatory bowel disease","inflammatory bowel disease","6,907,112",GDE,"https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000017/ScoringFiles/PGS000017.txt.gz  - Check Terms/Licenses"
PGS000018(metaGRS_CAD),"PGP000007|Inouye M et al. J Am Coll Cardiol (2018)","Coronary artery disease","coronary artery disease","1,745,179",GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000018/ScoringFiles/PGS000018.txt.gz
PGS000019(GRS_CAD),"PGP000009|Paquette M et al. J Clin Lipidol (2017)","Coronary artery disease","coronary artery disease",192,G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000019/ScoringFiles/PGS000019.txt.gz
PGS000020(dGRS1000),"PGP000010|Läll K et al. Genet Med (2016)","Type 2 diabetes","type II diabetes mellitus","7,502",G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000020/ScoringFiles/PGS000020.txt.gz
PGS000021(GRS1),"PGP000011|Oram RA et al. Diabetes Care (2015)","Type 1 diabetes","type I diabetes mellitus",30,GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000021/ScoringFiles/PGS000021.txt.gz
PGS000022(T1D_GRS),"PGP000012|Perry DJ et al. Sci Rep (2018)","Type 1 diabetes","type I diabetes mellitus",37,'--E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000022/ScoringFiles/PGS000022.txt.gz
PGS000023(AA_GRS),"PGP000013|Onengut-Gumuscu S et al. Diabetes Care (2019)","Type 1 diabetes","type I diabetes mellitus",7,G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000023/ScoringFiles/PGS000023.txt.gz
PGS000024(GRS2),"PGP000014|Sharp SA et al. Diabetes Care (2019)","Type 1 diabetes","type I diabetes mellitus",67,G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000024/ScoringFiles/PGS000024.txt.gz
PGS000025(GRS),"PGP000015|Chouraki V et al. J Alzheimers Dis (2016)","Alzheimer's Disease","Alzheimer's disease",19,G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000025/ScoringFiles/PGS000025.txt.gz
PGS000026(PHS),"PGP000016|Desikan RS et al. PLoS Med (2017)","Alzheimer’s Disease","Alzheimer's disease",31,GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000026/ScoringFiles/PGS000026.txt.gz
PGS000027(GPS_BMI),"PGP000017|Khera AV et al. Cell (2019)","Body Mass Index","body mass index","2,100,302",GDE,"https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000027/ScoringFiles/PGS000027.txt.gz  - Check Terms/Licenses"
